VERB,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,LAW,DATE,TIME,MONEY
"['attempt', 'succeed', 'cause', 'fail', 'kill', 'believe', 'train', 'apprehend', 'mohame', 'ask', 'reveal', 'refuse', 'do', 'arrest', 'carry', 'sign', 'name', 'have', 'become', 'bring', 'work', 'make', 'report', 'keep']","['mohamed essabar', 'abdellah atmani', 'atmani']","['arabic', 'moroccan']",[],"['al qaeda', 'the holland orange shipping lines']","['casablanca', 'afghanistan']",[],[],[],[],"['16 may 2003', '18 june 2003']",[],[]
"['arrest', 'emigrate', 'form', 'destroy', 'identify', 'establish', 'bear', 'take', 'carry', 'connect', 'give', 'have', 'contain', 'locate']",['omar evertts'],"['indonesian', 'jewish', 'dutch']",[],"['voorburg', 'riduan sungkar', 'chicago il', 'bafaba', 'flaxton st culver city']","['amsterdam', 'netherlands', 'kuala lumpur', 'schiphol airport', 'los angeles']",['buckthorn st inglewood'],[],[],[],"['20 june 2003', 'the mid 1990s', '1974', '23 june 2003']",[],[]
"['request', 'reveal', 'run', 'deal', 'know', 'locate', 'travel', 'associate', 'appear', 'support', 'do']","['ramundo ortiz', 'ortiz']",[],[],[],"['panama city', 'havana cuba', 'iran', 'pakistan']","['south america', 'africa', 'the middle east']",[],[],[],[],[],[]
"['volunteer', 'provide', 'happen', 'say', 'know', 'go', 'chitral', 'ask', 'find', 'slit']",[],['pakistani'],[],['al qaeda'],['peshawar'],[],[],[],[],"['15 july 2003', '17 july']",[],[]
"['base', 'solicit', 'regard', 'live', 'use', 'arrive', 'hold', 'suspect', 'work', 'get', 'travel', 'serve']",['ronald'],"['saudi', 'canadian', 'canadian eastern']",[],"['tecumseh rd', 'windsor ontario', 'hezbollah', 'derwish', 'canada eastern airlines', 'chicago il']","['rcmp', 'canada', 'detroit', 'michigan', 'newark', 'columbus', 'ohio']",[],[],[],[],"['1 july 2003', '1992']",[],[]
"['base', 'report', 'request', 'name', 'have', 'believe', 'work', 'travel', 'return', 'see', 'say', 'live']","['bugarov', 'pyotr', 'a boris bugarov', 'kalinin']","['russian', 'cuban']",[],"['nsa', 'the vector institute']","['moscow', 'havana cuba', 'russia', 'cuba', 'havana']",[],[],[],[],"['12 september 2003', 'between the years 1986 and 1990 in 1990']",[],[]
"['request', 'mention', 'report', 'believe', 'bear', 'record', 'live']",['muslih odeh'],"['saudi', 'british']",[],[],"['jeddah', 'saudi arabia', 'riyadh']",[],[],['mi 6'],[],"['15 september 2003', '1967', '1998']",[],[]
"['identify', 'take', 'mention', 'know', 'associate', 'obtain', 'reveal', 'kill']",['al hazmi'],"['saudi', 'american']",[],"['cia', 'al qaeda']","['peshawar', 'afghanistan']",[],[],[],[],"['2 january 2003', '20 april 2003', '12 march 2003']",[],[]
"['pay', 'say', 'treat', 'ask', 'know', 'reply', 'tell']",['a dr badawi'],[],[],[],[],[],[],[],[],['about 2 october 2003'],[],[]
"['regard', 'register', 'check']","['carlos araneda', 'jose escalante', 'b bugarov', 'arnoldo ramirez']","['cubans', 'moroccan']",['sahara atlantic'],"['san cristobal cuba', 'sahara atlantic']","['casablanca', 'havana cuba']",[],[],[],[],"['19 october 2003', '22 october 2003', '21 october 2003', '23 october 2003', '18 october 2003']",[],[]
"['regard', 'register', 'awad']","['ali talib karachi', 'omar al banna', 'ali mishal', 'abdel noufal', 'ahmad miner', 'karachi 19', 'salman karachi']",[],[],"['moroccan oasis', 'karachi 21', 'mahfouz', 'sahara atlantic hotel', 'jamat syeed', 'moroccan sands hotel shukri azzam hyderabad', 'peshawar22']","['pakistan', 'abu', 'nadia', 'hyderabad']",[],[],[],[],"['october 2003', 'october', 'peshawar 21  ', 'peshawar 22  ', '24 october', 'peshawar 22  23 october', '21 october', '23 october']",[],[]
"['regard', 'see', 'list', 'morale', 'reveal', 'apply', 'grant', 'show', 'bear', 'take', 'drive', 'say', 'overhear', 'speak', 'call', 'use']","['san martin', 'carlos']",['arabic'],[],"['santo domingo', 'nsa']","['dominican republic', 'buenos', 'argentina']",[],[],[],[],"['1 november 2003', '2000', 'february of 2001', '4 march 1970']",[],[]
"['reveal', 'travel', 'return', 'photograph', 'come', 'provide', 'identify']",['omar hanif'],[],[],[],"['nassau', 'bahamas', 'cairo egypt', 'cairo']",[],[],[],[],"['20 december 2003', '25 december 2003']",[],[]
"['reveal', 'send', 'hold']","['ramundo ortiz', 'jose escalante']",['cuban'],[],[],"['panama city', 'havana cuba']",[],[],[],[],['27 january 2004'],[],[]
"['continue', 'take', 'board', 'arrive', 'connect', 'return', 'stay']","['omar hanif', 'hanif']",['pakistani'],[],"['karachi pakistan', 'karachi hanif']","['nassau', 'bahamas', 'miami fl', 'london']",[],[],[],[],"['4 february 2004', '5 february', '7 february']",[],[]
"['request', 'name', 'report', 'work', 'say', 'leave', 'know', 'travel']",['ali'],['malaysian'],[],[],"['caracas venezuela', 'cuba']",['caribbean'],['caribbean'],[],[],[],[],[]
"['surround', 'have', 'dutch', 'deliver', 'make']","['savannah ga', 'norfolk va']",['dutch'],[],"['holland orange shipping', 'the orange queen services', 'the dutch courage services ports']","['casablanca', 'miami fl', 'caracas venezuela', 'the dominican republic', 'venezuela']",[],[],[],[],[],[],[]
"['report', 'find', 'have', 'slaughter', 'declare']",[],[],[],['the itartass news agency'],"['blagoveshchensk', 'the amur region']",[],[],[],[],['15 april 2004'],[],[]
"['track', 'photograph', 'identify', 'name', 'know', 'receive', 'suspect', 'see', 'overhear', 'speak', 'report', 'be', 'forge']","['cesar arze', 'carlos morales', 'jose escalante', 'arze', 'carlos']","['cuban', 'arabic', 'islamic']",[],"['santo domingo', 'cia']","['santo domingo', 'havana', 'cuba', 'buenos', 'argentina']",[],[],[],[],"['2004', '1992  1993', 'february 2003', '15 november 2003']",[],[]
"['provide', 'gather', 'bear', 'train', 'appear', 'join', 'become', 'develop', 'believe', 'work', 'say', 'go', 'return', 'report', 'divorce', 'travel', 'know', 'have']","['boris bugarov', 'bugarov']",['russian'],[],[],"['moscow', 'india1', 'cuba']","['europe', 'the middle east', 'south america']",[],[],[],"['1950', 'around 1986', '1992', '1993']",[],[]
"['provide', 'regard', 'see', 'report', 'be', 'have', 'know', 'employ']","['muslih odeh', 'odehs']","['british', 'saudi']",['mi 5'],['cia'],['bahamas'],[],[],['mi 5'],[],['25 september 2003'],[],[]
"['issue', 'regard', 'know', 'run', 'see', 'translate', 'obtain', 'reveal', 'name']","['abdul nasser', 'ali', 'abdul ahmed nasser', 'al khuldan', 'ali al omari']",['saudi'],[],"['fbi', 'dia']",['afghanistan'],['the khost area'],[],[],[],"['1999  2001', '12 february 2004', 'february of 2000']",[],[]
"['happen', 'work', 'say', 'drive', 'meet', 'give', 'contain', 'receive', 'mark', 'tell', 'sell']",['pyotr'],['russian'],[],['safrygin'],"['moscow', 'russia']",['africa'],[],[],[],['1 september'],[],[]
"['obtain', 'learn', 'confirm', 'say', 'appear', 'type']",['columbia cdc'],[],[],['cdc'],['bucaramanga'],[],[],[],[],[],[],[]
"['sizov', 'teach', 'ask', 'tell', 'say', 'know', 'meet', 'take', 'regard', 'stay', 'enjoy', 'make', 'show', 'plan', 'marry', 'travel', 'have', 'help', 'guess', 'involve', 'notice', 'wear']","['grigory sizov', 'boris bugarov', 'bugarov regards castro', 'bugarov']","['soviet', 'cuban']",[],[],"['cuba', 'moscow', 'havana', 'soviet union sizov']",[],[],[],[],['2002'],[],[]
"['note', 'agree', 'keep', 'report', 'prompt', 'kill', 'identify', 'know', 'seem', 'carry', 'contain', 'include', 'make', 'destroy', 'address', 'read', 'provide', 'need', 'finish', 'send']","['abdul jabarah', 'kuwaiti', 'fahd jehani', 'ramzi al']","['pakistani', 'saudi', 'yemeni']",[],"['cia', 'al qaeda jehani']","['karachi', 'pakistan']",[],[],[],[],"['13 february 2004', '17 september 2004', '5 september 2004', '1 october 2004', 'ten days']",[],[]
"['provide', 'name', 'know', 'live', 'work', 'make', 'have']","['ali', 'omar hanif']",['malaysian'],[],['santo domingo sufaat'],"['nassau', 'bahamas']",[],[],[],[],[],[],[]
"['employ', 'assign', 'keep', 'say', 'have', 'wear', 'give', 'wrap', 'mark', 'tell', 'observe', 'place', 'see', 'send']","['abdellah atmani', 'atmani']","['russian', 'dutch', 'dominican']",[],"['the holland orange shipping lines', 'central russia airlines', 'holland orange', 'santo domingo']",['casablanca'],[],[],[],[],"['5 october 2004', 'later the same day']",[],[]
"['say', 'overhear', 'regard', 'mention', 'work', 'go', 'become', 'attach', 'add', 'watch', 'grow', 'leave', 'kill', 'fight', 'return', 'hear', 'take']",['al ghamdi'],"['american', 'spanish']",[],['al qaeda'],"['riyadh', 'saudi arabia', 'afghanistan', 'santo domingo']",[],[],[],[],['1970'],[],[]
"['request', 'report', 'see', 'ask', 'recognize', 'receive', 'mark', 'say', 'learn', 'own']",['pyotr'],[],[],"['cia', 'safrygin']",[],[],[],[],[],"['2 november 2004', '1 september 2004', '15 september 2004']",[],[]
"['assign', 'cover', 'report', 'follow', 'take', 'call', 'carry', 'say', 'think', 'translate', 'give', 'name', 'place', 'drive']","['omar hanif', 'muslih odeh']",['russian'],['the bahamas hanif'],[],['nassau'],[],[],[],[],['1 december 2004'],[],[]
"['receive', 'follow', 'meet', 'depart', 'vike', 'say', 'take']","['omar hanif', 'hanif']",[],[],[],['nassau'],[],[],[],[],"['yesterday', '15 december 2004']",[],[]
